Date,Name,Year,Month,Day,Weekday,Types,IsObserved,Country,Locations,States
01-01-2023,New Year's Day,2023,1,1,Sun,National holiday,,United States,,
02-01-2023,New Year's Day,2023,1,2,Mon,National holiday,1,United States,,
16-01-2023,Martin Luther King Jr. Day,2023,1,16,Mon,National holiday,,United States,,
14-02-2023,Valentine's Day,2023,2,14,Tue,Observance,,United States,,
20-02-2023,Presidents' Day,2023,2,20,Mon,National holiday,,United States,,
17-03-2023,St. Patrick's Day,2023,3,17,Fri,"Observance,Christian",,United States,,
09-04-2023,Easter Sunday,2023,4,9,Sun,"Observance,Christian",,United States,,
10-04-2023,Easter Monday,2023,4,10,Mon,"Observance,Christian",,United States,,
18-04-2023,Tax Day,2023,4,18,Tue,Observance,,United States,,
05-05-2023,Cinco de Mayo,2023,5,5,Fri,Observance,,United States,,
14-05-2023,Mother's Day,2023,5,14,Sun,Observance,,United States,,
29-05-2023,Memorial Day,2023,5,29,Mon,National holiday,,United States,,
14-06-2023,Flag Day,2023,6,14,Wed,Observance,,United States,,
18-06-2023,Father's Day,2023,6,18,Sun,Observance,,United States,,
19-06-2023,Juneteenth,2023,6,19,Mon,National holiday,,United States,,
04-07-2023,Independence Day,2023,7,4,Tue,National holiday,,United States,,
04-09-2023,Labor Day,2023,9,4,Mon,National holiday,,United States,,
09-10-2023,Columbus Day,2023,10,9,Mon,National holiday,,United States,,
31-10-2023,Halloween,2023,10,31,Tue,Observance,,United States,,
07-11-2023,Election Day,2023,11,7,Tue,Observance,,United States,,
10-11-2023,Veterans Day,2023,11,10,Fri,National holiday,1,United States,,
11-11-2023,Veterans Day,2023,11,11,Sat,National holiday,,United States,,
23-11-2023,Thanksgiving Day,2023,11,23,Thu,National holiday,,United States,,
24-11-2023,Black Friday,2023,11,24,Fri,Observance,,United States,,
24-12-2023,Christmas Eve,2023,12,24,Sun,"Observance,Christian",,United States,,
25-12-2023,Christmas Day,2023,12,25,Mon,"National holiday,Christian",,United States,,
31-12-2023,New Year's Eve,2023,12,31,Sun,Observance,,United States,,
01-01-2023,New Year's Day,2023,1,1,Sun,National holiday,,Romania,,
02-01-2023,Day after New Year's Day,2023,1,2,Mon,National holiday,,Romania,,
06-01-2023,Epiphany,2023,1,6,Fri,"Observance,Orthodox",,Romania,,
07-01-2023,Synaxis of St. John the Baptist,2023,1,7,Sat,Observance,,Romania,,
24-01-2023,Unification Day,2023,1,24,Tue,National holiday,,Romania,,
19-02-2023,Constantin Brancusi Day,2023,2,19,Sun,Observance,,Romania,,
24-02-2023,Dragobete,2023,2,24,Fri,Observance,,Romania,,
01-03-2023,Mărțișor,2023,3,1,Wed,Observance,,Romania,,
08-03-2023,International Women's Day,2023,3,8,Wed,Observance,,Romania,,
14-04-2023,Orthodox Good Friday,2023,4,14,Fri,"National holiday,Orthodox",,Romania,,
16-04-2023,Orthodox Easter Day,2023,4,16,Sun,"National holiday,Orthodox",,Romania,,
17-04-2023,Orthodox Easter Monday,2023,4,17,Mon,"National holiday,Orthodox",,Romania,,
01-05-2023,Labor Day / May Day,2023,5,1,Mon,National holiday,,Romania,,
07-05-2023,Mothers' Day,2023,5,7,Sun,Observance,,Romania,,
10-05-2023,Monarchy Day,2023,5,10,Wed,Observance,,Romania,,
10-05-2023,National Independence Day,2023,5,10,Wed,Observance,,Romania,,
14-05-2023,Fathers' Day,2023,5,14,Sun,Observance,,Romania,,
25-05-2023,Orthodox Ascension Day,2023,5,25,Thu,"Observance,Orthodox",,Romania,,
01-06-2023,Children's Day,2023,6,1,Thu,National holiday,,Romania,,
04-06-2023,Orthodox Pentecost,2023,6,4,Sun,"National holiday,Orthodox",,Romania,,
05-06-2023,Orthodox Pentecost Monday,2023,6,5,Mon,"National holiday,Orthodox",,Romania,,
26-06-2023,Flag Day,2023,6,26,Mon,Observance,,Romania,,
29-07-2023,National Anthem Day,2023,7,29,Sat,Observance,,Romania,,
15-08-2023,St Mary's Day,2023,8,15,Tue,National holiday,,Romania,,
31-10-2023,Halloween,2023,10,31,Tue,Observance,,Romania,,
30-11-2023,St Andrew's Day,2023,11,30,Thu,National holiday,,Romania,,
01-12-2023,National Day,2023,12,1,Fri,National holiday,,Romania,,
08-12-2023,Constitution Day,2023,12,8,Fri,Observance,,Romania,,
24-12-2023,Christmas Eve,2023,12,24,Sun,Observance,,Romania,,
25-12-2023,Christmas Day,2023,12,25,Mon,National holiday,,Romania,,
26-12-2023,Second day of Christmas,2023,12,26,Tue,National holiday,,Romania,,
31-12-2023,New Year's Eve,2023,12,31,Sun,Observance,,Romania,,
01-01-2023,New Year's Day,2023,1,1,Sun,"National holiday,Flag day",,Norway,,
19-02-2023,Carnival,2023,2,19,Sun,Observance,,Norway,,
02-04-2023,Palm Sunday,2023,4,2,Sun,Observance,,Norway,,
06-04-2023,Maundy Thursday,2023,4,6,Thu,National holiday,,Norway,,
07-04-2023,Good Friday,2023,4,7,Fri,National holiday,,Norway,,
08-04-2023,Holy Saturday,2023,4,8,Sat,Observance,,Norway,,
09-04-2023,Easter Sunday,2023,4,9,Sun,"National holiday,Flag day",,Norway,,
10-04-2023,Easter Monday,2023,4,10,Mon,National holiday,,Norway,,
01-05-2023,Labor Day,2023,5,1,Mon,"National holiday,Flag day",,Norway,,
08-05-2023,Day of Liberation,2023,5,8,Mon,"Observance,Flag day",,Norway,,
17-05-2023,17 May Constitution Day (1814),2023,5,17,Wed,"National holiday,Flag day",,Norway,,
18-05-2023,Ascension Day,2023,5,18,Thu,National holiday,,Norway,,
27-05-2023,Whit Saturday,2023,5,27,Sat,Observance,,Norway,,
28-05-2023,Whit Sunday,2023,5,28,Sun,"National holiday,Flag day",,Norway,,
29-05-2023,Whit Monday,2023,5,29,Mon,National holiday,,Norway,,
29-10-2023,Repentance Day,2023,10,29,Sun,Observance,,Norway,,
05-11-2023,All Saints' Day,2023,11,5,Sun,Observance,,Norway,,
03-12-2023,First Advent Sunday,2023,12,3,Sun,Observance,,Norway,,
10-12-2023,Second Advent Sunday,2023,12,10,Sun,Observance,,Norway,,
17-12-2023,Third Advent Sunday,2023,12,17,Sun,Observance,,Norway,,
24-12-2023,Fourth Advent Sunday,2023,12,24,Sun,Observance,,Norway,,
24-12-2023,Christmas Eve,2023,12,24,Sun,Observance,,Norway,,
25-12-2023,Christmas Day,2023,12,25,Mon,"National holiday,Flag day",,Norway,,
26-12-2023,Boxing Day,2023,12,26,Tue,National holiday,,Norway,,
31-12-2023,New Year's Eve,2023,12,31,Sun,Observance,,Norway,,
