TransactionID,Date,Time,CustomerID,Age,Gender,Location,StoreID,OnlineOrderFlag,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,ShippingMethod,DeliveryTime,Weather,Event,CustomerSatisfaction,ReturnFlag
1,24-12-2020,07:27:59,441,27,Other,City_15,,TRUE,106,Toys_Product,Toys,5,96.78625465,483.9312732,Credit Card,FALSE,0,FALSE,Standard,5,Snowy,None,5,FALSE
2,18-11-2022,14:36:39,340,43,Male,City_13,,TRUE,816,Clothing_Product,Clothing,1,95.27957916,95.27957916,Credit Card,TRUE,0,TRUE,Express,3,Sunny,None,2,TRUE
3,26-12-2019,20:23:50,31,25,Other,City_7,92,FALSE,508,Clothing_Product,Clothing,2,52.37164537,104.7432907,Credit Card,FALSE,0,FALSE,,,Rainy,Christmas Market,4,FALSE
4,13-11-2018,23:08:08,39,64,Male,City_20,100,FALSE,710,Toys_Product,Toys,5,63.64729257,318.2364628,Debit Card,FALSE,0,TRUE,,,Rainy,None,1,TRUE
5,13-12-2020,04:38:08,344,26,Other,City_10,90,FALSE,687,Toys_Product,Toys,3,57.38404058,172.1521217,Cash,FALSE,0,TRUE,,,Sunny,Christmas Market,4,FALSE
6,26-11-2018,03:17:17,307,18,Male,City_4,79,FALSE,589,Decorations_Product,Decorations,1,81.05898582,81.05898582,Online Payment,TRUE,8.105898582,TRUE,,,Rainy,Black Friday,3,TRUE
7,08-12-2020,08:26:56,368,63,Female,City_3,,TRUE,158,Food_Product,Food,3,48.15754232,144.4726269,Online Payment,FALSE,0,TRUE,Express,2,Sunny,Christmas Market,3,TRUE
8,03-12-2020,16:02:24,121,48,Other,City_1,,TRUE,829,Clothing_Product,Clothing,3,97.06931545,291.2079463,Cash,TRUE,29.12079463,FALSE,Standard,3,Rainy,Black Friday,5,FALSE
9,10-11-2020,14:41:38,464,58,Other,City_19,87,FALSE,987,Decorations_Product,Decorations,2,34.14224425,68.28448849,Debit Card,TRUE,6.828448849,FALSE,,,Snowy,Black Friday,1,FALSE
10,16-11-2019,00:08:13,252,41,Female,City_16,54,FALSE,470,Clothing_Product,Clothing,1,37.04606705,37.04606705,Debit Card,FALSE,3.704606705,FALSE,,,Sunny,Black Friday,2,TRUE
11,06-12-2019,18:02:36,302,50,Female,City_13,47,FALSE,670,Toys_Product,Toys,5,91.87703585,459.3851792,Debit Card,FALSE,0,FALSE,,,Rainy,Christmas Market,4,TRUE
12,11-11-2021,07:42:19,300,51,Other,City_13,,TRUE,755,Decorations_Product,Decorations,1,26.89912172,26.89912172,Online Payment,FALSE,0,TRUE,Express,3,Sunny,Christmas Market,5,FALSE
13,04-11-2022,06:54:03,175,20,Male,City_15,,TRUE,95,Electronics_Product,Electronics,3,48.97453114,146.9235934,Credit Card,FALSE,14.69235934,FALSE,Express,3,Rainy,Black Friday,4,FALSE
14,07-11-2020,19:24:07,417,62,Female,City_5,38,FALSE,460,Decorations_Product,Decorations,1,80.48414429,80.48414429,Debit Card,TRUE,0,TRUE,,,Snowy,Christmas Market,4,TRUE
15,28-12-2018,21:28:34,231,66,Female,City_11,,TRUE,609,Electronics_Product,Electronics,3,37.22133377,111.6640013,Debit Card,TRUE,0,TRUE,Standard,5,Rainy,Christmas Market,3,TRUE
16,24-12-2018,23:42:29,216,51,Male,City_2,,TRUE,540,Electronics_Product,Electronics,2,92.89284394,185.7856879,Credit Card,TRUE,0,FALSE,Standard,2,Sunny,None,2,FALSE
17,20-12-2019,07:56:53,447,23,Other,City_17,,TRUE,346,Clothing_Product,Clothing,1,47.16863787,47.16863787,Cash,FALSE,0,FALSE,Express,3,Rainy,Christmas Market,1,TRUE
18,11-11-2021,13:37:18,60,44,Other,City_20,,TRUE,488,Toys_Product,Toys,1,91.25614092,91.25614092,Debit Card,FALSE,0,FALSE,Express,5,Rainy,None,1,FALSE
19,13-12-2018,20:42:36,450,52,Other,City_14,98,FALSE,332,Decorations_Product,Decorations,3,20.88022516,62.64067547,Online Payment,TRUE,0,TRUE,,,Rainy,Christmas Market,5,FALSE
20,29-12-2020,15:39:25,75,52,Female,City_2,69,FALSE,267,Toys_Product,Toys,4,82.67500774,330.700031,Credit Card,TRUE,33.0700031,TRUE,,,Rainy,Black Friday,2,FALSE
21,24-12-2022,06:52:48,315,37,Female,City_10,,TRUE,722,Decorations_Product,Decorations,2,48.9819344,97.96386881,Debit Card,FALSE,0,FALSE,Overnight,3,Sunny,Christmas Market,3,TRUE
22,28-11-2018,10:46:14,295,27,Female,City_3,64,FALSE,138,Clothing_Product,Clothing,4,20.70010309,82.80041237,Cash,TRUE,8.280041237,FALSE,,,Rainy,Black Friday,4,FALSE
23,27-12-2020,10:13:37,354,44,Male,City_10,,TRUE,526,Food_Product,Food,3,36.72797537,110.1839261,Credit Card,FALSE,11.01839261,TRUE,Standard,5,Sunny,Black Friday,2,FALSE
24,18-11-2019,07:53:01,170,27,Female,City_12,61,FALSE,521,Electronics_Product,Electronics,3,20.34166296,61.02498889,Online Payment,FALSE,0,TRUE,,,Rainy,None,2,TRUE
25,30-11-2023,12:40:35,154,56,Other,City_16,,TRUE,251,Clothing_Product,Clothing,3,16.15314336,48.45943008,Credit Card,FALSE,4.845943008,FALSE,Express,5,Sunny,Black Friday,3,FALSE
