store_id,baked_date,transaction_date,product_id,quantity_start_of_day,quantity_sold
3,2016-12-23,2017-01-01,69,18,3
5,2016-12-18,2017-01-01,69,18,4
3,2016-12-28,2017-01-01,70,18,1
5,2016-12-26,2017-01-01,70,18,2
3,2016-12-31,2017-01-01,71,18,2
5,2016-12-31,2017-01-01,71,18,5
8,2016-12-31,2017-01-01,71,18,2
5,2016-12-25,2017-01-01,72,48,4
8,2016-12-25,2017-01-01,72,48,3
8,2016-12-31,2017-01-01,73,18,2
3,2016-12-20,2017-01-01,74,18,1
5,2016-12-23,2017-01-01,74,18,2
3,2016-12-31,2017-01-01,75,18,4
5,2016-12-31,2017-01-01,75,18,6
3,2016-12-25,2017-01-01,76,18,1
5,2016-12-19,2017-01-01,76,18,3
8,2016-12-23,2017-01-01,76,18,3
5,2016-12-28,2017-01-01,77,48,3
8,2016-12-28,2017-01-01,77,48,2
8,2016-12-28,2017-01-01,78,18,3
3,2016-12-28,2017-01-01,79,18,5
5,2016-12-26,2017-01-01,79,18,2
8,2016-12-26,2017-01-01,79,18,2
3,2016-12-19,2017-01-02,69,18,1
5,2016-12-25,2017-01-02,69,18,2
8,2016-12-23,2017-01-02,69,18,4
3,2016-12-26,2017-01-02,70,18,3
5,2016-12-27,2017-01-02,70,18,3
8,2016-12-26,2017-01-02,70,18,3
3,2017-01-01,2017-01-02,71,18,2
5,2017-01-01,2017-01-02,71,18,1
8,2017-01-01,2017-01-02,71,18,3
3,2016-12-28,2017-01-02,72,48,5
8,2016-12-26,2017-01-02,72,48,3
3,2017-01-01,2017-01-02,73,18,4
5,2017-01-01,2017-01-02,73,18,2
8,2017-01-01,2017-01-02,73,18,1
3,2016-12-19,2017-01-02,74,18,3
5,2016-12-20,2017-01-02,74,18,3
8,2016-12-24,2017-01-02,74,18,2
3,2017-01-01,2017-01-02,75,18,4
5,2017-01-01,2017-01-02,75,18,5
8,2017-01-01,2017-01-02,75,18,1
3,2016-12-22,2017-01-02,76,18,3
5,2016-12-20,2017-01-02,76,18,1
8,2016-12-26,2017-01-02,76,18,2
3,2016-12-29,2017-01-02,77,48,4
8,2016-12-26,2017-01-02,77,48,2
3,2016-12-29,2017-01-02,78,18,3
5,2016-12-28,2017-01-02,78,18,4
8,2016-12-27,2017-01-02,78,18,2
3,2016-12-28,2017-01-02,79,18,4
5,2016-12-28,2017-01-02,79,18,4
8,2016-12-26,2017-01-02,79,18,2
3,2016-12-27,2017-01-03,69,18,3
8,2016-12-23,2017-01-03,69,18,3
3,2016-12-29,2017-01-03,70,18,2
5,2016-12-28,2017-01-03,70,18,2
8,2016-12-29,2017-01-03,70,18,1
3,2017-01-02,2017-01-03,71,18,2
5,2017-01-02,2017-01-03,71,18,3
8,2017-01-02,2017-01-03,71,18,1
3,2016-12-29,2017-01-03,72,48,3
5,2016-12-28,2017-01-03,72,48,4
8,2016-12-27,2017-01-03,72,48,3
5,2017-01-02,2017-01-03,73,18,3
8,2017-01-02,2017-01-03,73,18,4
3,2016-12-26,2017-01-03,74,18,1
8,2016-12-22,2017-01-03,74,18,3
3,2017-01-02,2017-01-03,75,18,2
5,2017-01-02,2017-01-03,75,18,3
8,2017-01-02,2017-01-03,75,18,3
3,2016-12-27,2017-01-03,76,18,3
5,2016-12-26,2017-01-03,76,18,1
8,2016-12-26,2017-01-03,76,18,4
3,2016-12-28,2017-01-03,77,48,2
5,2016-12-28,2017-01-03,77,48,3
8,2016-12-30,2017-01-03,77,48,2
5,2016-12-29,2017-01-03,78,18,4
8,2016-12-27,2017-01-03,78,18,3
3,2016-12-30,2017-01-03,79,18,2
5,2016-12-30,2017-01-03,79,18,3
8,2016-12-29,2017-01-03,79,18,2
3,2016-12-21,2017-01-04,69,18,2
5,2016-12-24,2017-01-04,69,18,2
8,2016-12-26,2017-01-04,69,18,1
3,2016-12-30,2017-01-04,70,18,2
8,2016-12-29,2017-01-04,70,18,2
3,2017-01-03,2017-01-04,71,18,6
5,2017-01-03,2017-01-04,71,18,6
8,2017-01-03,2017-01-04,71,18,1
3,2016-12-29,2017-01-04,72,48,3
5,2016-12-31,2017-01-04,72,48,3
8,2016-12-29,2017-01-04,72,48,3
3,2017-01-03,2017-01-04,73,18,3
5,2017-01-03,2017-01-04,73,18,4
3,2016-12-24,2017-01-04,74,18,2
5,2016-12-24,2017-01-04,74,18,2
8,2016-12-28,2017-01-04,74,18,3
